Statistics 2024-10-30,10:56:27
#Lines:              22414262
#Entries:            23335
#Datasets:           162543
#Corrected Datasets: 0
#Covariance Data:    0
#Data points:        14428184
#Datasets by MF:
  80652 #MF:3
  33065 #MF:4
   9808 #MF:402
   8714 #MF:6
   3270 #MF:2
   3179 #MF:203
   2492 #MF:213
   1945 #MF:104
   1795 #MF:606
   1675 #MF:154
   1492 #MF:600
   1463 #MF:604
   1355 #MF:5
   1303 #MF:801
   1227 #MF:403
   1172 #MF:8
   1152 #MF:7
    997 #MF:503
    951 #MF:1
    677 #MF:13
    539 #MF:603
    421 #MF:208
    326 #MF:405
    297 #MF:802
    259 #MF:14
    249 #MF:204
    230 #MF:608
    177 #MF:401
    172 #MF:56
    166 #MF:223
    165 #MF:53
    159 #MF:15
    151 #MF:201
    140 #MF:615
     82 #MF:206
     77 #MF:504
     61 #MF:513
     54 #MF:601
     46 #MF:613
     46 #MF:602
     42 #MF:614
     40 #MF:803
     39 #MF:205
     38 #MF:404
     33 #MF:505
     29 #MF:605
     28 #MF:57
     21 #MF:514
     19 #MF:202
     15 #MF:506
     10 #MF:54
      6 #MF:656
      5 #MF:423
      3 #MF:852
      3 #MF:658
      3 #MF:508
      2 #MF:650
      2 #MF:502
      1 #MF:805
      1 #MF:653
      1 #MF:501
      1 #MF:413
